model,test_rmse,test_r2,test_mape,rmse_cv,r2_cv,mape_cv
LinearRegression,1135.2116445190634,0.9189331350419386,0.3952933516494362,1130.6712673043153,0.9196260550918808,0.391334421252764
Ridge(alpha=10),1135.1399446753258,0.9189433750672591,0.39447177367069436,1130.6976505783462,0.9196217249760583,0.3903141746325789
