model,test_rmse,test_r2,test_mape,rmse_cv,r2_cv,mape_cv,dataset
LinearRegression,1135.2116445190634,0.9189331350419386,0.3952933516494362,1130.6712673043153,0.9196260550918808,0.391334421252764,original
Ridge(alpha=10),1135.1399446753258,0.9189433750672591,0.39447177367069436,1130.6976505783462,0.9196217249760583,0.3903141746325789,original
LinearRegression+PCA,1627.9520662469658,0.8332856704641562,0.6269192093324393,1667.539424887257,0.8250452439345729,0.6181038664555771,pca
Ridge(alpha=10)+PCA,1627.9670234910755,0.8332826069852857,0.6266845904952246,1667.5437744667101,0.8250445877357657,0.6177766795080755,pca
